icd10_code,description,code_family,chapter,chronic,specificity,hcc_v28_code,hcc_v28_label
E10.41,Type 1 diabetes mellitus with diabetic mononeuropathy,E10,"Endocrine, nutritional and metabolic diseases",true,specified,36,Diabetes with Chronic Complications
E10.42,Type 1 diabetes mellitus with diabetic polyneuropathy,E10,"Endocrine, nutritional and metabolic diseases",true,specified,36,Diabetes with Chronic Complications
E10.59,Type 1 diabetes mellitus with other circulatory complications,E10,"Endocrine, nutritional and metabolic diseases",true,specified,36,Diabetes with Chronic Complications
E10.621,Type 1 diabetes mellitus with foot ulcer,E10,"Endocrine, nutritional and metabolic diseases",true,specified,36,Diabetes with Chronic Complications
E10.641,Type 1 diabetes mellitus with hypoglycemia with coma,E10,"Endocrine, nutritional and metabolic diseases",true,specified,36,Diabetes with Chronic Complications
E10.65,Type 1 diabetes mellitus with hyperglycemia,E10,"Endocrine, nutritional and metabolic diseases",true,specified,36,Diabetes with Chronic Complications
E10.69,Type 1 diabetes mellitus with other specified complication,E10,"Endocrine, nutritional and metabolic diseases",true,specified,36,Diabetes with Chronic Complications
E10.8,Type 1 diabetes mellitus with unspecified complications,E10,"Endocrine, nutritional and metabolic diseases",true,unspecified,37,"Diabetes with Glycemic, Unspecified, or No Complications"
E10.9,Type 1 diabetes mellitus without complications,E10,"Endocrine, nutritional and metabolic diseases",true,unspecified,37,"Diabetes with Glycemic, Unspecified, or No Complications"
E11.21,Type 2 diabetes mellitus with diabetic nephropathy,E11,"Endocrine, nutritional and metabolic diseases",true,specified,36,Diabetes with Chronic Complications
E11.22,Type 2 diabetes mellitus with diabetic chronic kidney disease,E11,"Endocrine, nutritional and metabolic diseases",true,specified,36,Diabetes with Chronic Complications
E11.3312,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, left eye",E11,"Endocrine, nutritional and metabolic diseases",true,specified,36,Diabetes with Chronic Complications
E11.3392,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, left eye",E11,"Endocrine, nutritional and metabolic diseases",true,unspecified,36,Diabetes with Chronic Complications
